date,symbol,open,high,low,close,volume
2024-02-27,DEMO,104.4952,104.9240,103.5090,103.9355,835850
2024-02-28,DEMO,103.9355,105.2314,103.4519,104.7441,1186116
2024-02-29,DEMO,104.7441,104.9596,104.2895,104.5046,917688
2024-03-01,DEMO,104.5046,104.9283,103.5310,103.9525,837801
2024-03-04,DEMO,103.9525,105.1746,103.4983,104.7171,1174788
2024-03-05,DEMO,104.7171,104.8687,104.4218,104.5733,942060
2024-03-06,DEMO,104.5733,105.5145,104.2311,105.1703,1130911
2024-03-07,DEMO,105.1703,105.4206,104.6294,104.8790,904800
2024-03-08,DEMO,104.8790,105.1385,104.3151,104.5737,901050
2024-03-11,DEMO,104.5737,104.9538,103.7090,104.0873,854617
2024-03-12,DEMO,104.0873,104.4788,103.1937,103.5833,849555
2024-03-13,DEMO,103.5833,104.7262,103.1605,104.3004,1163279
2024-03-14,DEMO,104.3004,104.5490,103.7632,104.0111,904687
2024-03-15,DEMO,104.0111,104.0796,103.9231,103.9916,973662
2024-03-18,DEMO,103.9916,104.1879,103.9463,104.1426,1017399
2024-03-19,DEMO,104.1426,104.2608,103.9305,104.0486,954589
2024-03-20,DEMO,104.0486,104.2239,103.6939,103.8689,932606
2024-03-21,DEMO,103.8689,104.1984,103.1293,103.4576,873076
2024-03-22,DEMO,103.4576,103.7410,102.8327,103.1152,890422
2024-03-25,DEMO,103.1152,103.2715,102.8073,102.9633,939379
2024-03-26,DEMO,102.9633,103.3215,102.8531,103.2110,1042817
2024-03-27,DEMO,103.2110,103.2791,103.1821,103.2502,988788
2024-03-28,DEMO,103.2502,103.3835,103.2299,103.3632,1007855
2024-03-29,DEMO,103.3632,104.5245,102.9330,104.0912,1166490
2024-04-01,DEMO,104.0912,104.5098,103.1303,103.5467,839157
2024-04-02,DEMO,103.5467,103.9922,102.5182,102.9612,827899
2024-04-03,DEMO,102.9612,103.7686,102.6718,103.4777,1112442
2024-04-04,DEMO,103.4777,103.6039,103.4604,103.5865,1006695
2024-04-05,DEMO,103.5865,104.7990,103.1360,104.3452,1173967
2024-04-08,DEMO,104.3452,104.4109,104.3097,104.3755,986416
2024-04-09,DEMO,104.3755,104.8780,103.2059,103.7052,807418
2024-04-10,DEMO,103.7052,103.7736,103.6761,103.7446,988786
2024-04-11,DEMO,103.7446,104.2471,102.5745,103.0738,806251
2024-04-12,DEMO,103.0738,103.2978,102.5967,102.8202,913061
2024-04-15,DEMO,102.8202,102.9803,102.5025,102.6623,937720
2024-04-16,DEMO,102.6623,103.8739,102.2119,103.4201,1175498
2024-04-17,DEMO,103.4201,104.1685,103.1543,103.9015,1102798
2024-04-18,DEMO,103.9015,104.0140,103.7035,103.8159,956688
2024-04-19,DEMO,103.8159,104.4376,103.6007,104.2217,1082896
2024-04-22,DEMO,104.2217,104.4385,103.7635,103.9798,916783
2024-04-23,DEMO,103.9798,104.3183,103.2181,103.5552,869774
2024-04-24,DEMO,103.5552,103.8634,103.4651,103.7731,1034790
2024-04-25,DEMO,103.7731,104.8267,103.3859,104.4370,1149250
2024-04-26,DEMO,104.4370,104.6376,104.3902,104.5907,1017923
2024-04-29,DEMO,104.5907,105.1077,103.3853,103.8989,802282
2024-04-30,DEMO,103.8989,104.2610,103.0784,103.4389,860595
2024-05-01,DEMO,103.4389,103.8301,102.5454,102.9348,848701
2024-05-02,DEMO,102.9348,104.0492,102.5230,103.6347,1159993
2024-05-03,DEMO,103.6347,104.0508,102.6795,103.0934,839392
2024-05-06,DEMO,103.0934,103.4381,102.3156,102.6589,866261
2024-05-07,DEMO,102.6589,103.0741,102.5258,102.9406,1051854
2024-05-08,DEMO,102.9406,103.4292,101.8047,102.2901,810159
2024-05-09,DEMO,102.2901,103.0903,102.0034,102.8021,1112139
2024-05-10,DEMO,102.8021,103.9130,102.3918,103.4999,1159664
2024-05-13,DEMO,103.4999,104.0101,102.3104,102.8173,802796
2024-05-14,DEMO,102.8173,103.1789,101.9972,102.3571,859327
2024-05-15,DEMO,102.3571,102.4288,102.2599,102.3315,971988
2024-05-16,DEMO,102.3315,102.7094,101.4704,101.8465,852278
2024-05-17,DEMO,101.8465,103.0972,101.3803,102.6273,1183114
2024-05-20,DEMO,102.6273,102.8676,102.5641,102.8043,1024634
2024-05-21,DEMO,102.8043,104.0936,102.3229,103.6085,1187275
2024-05-22,DEMO,103.6085,104.3118,103.3607,104.0630,1095649
2024-05-23,DEMO,104.0630,104.2284,104.0302,104.1955,1012622
2024-05-24,DEMO,104.1955,104.6327,104.0541,104.4910,1054280
2024-05-27,DEMO,104.4910,104.5682,104.4782,104.5554,995101
2024-05-28,DEMO,104.5554,104.6495,104.4036,104.4977,963964
2024-05-29,DEMO,104.4977,105.7231,104.0423,105.2644,1174316
2024-05-30,DEMO,105.2644,106.4848,104.8112,106.0284,1172207
2024-05-31,DEMO,106.0284,106.7519,105.7733,106.4958,1096218
2024-06-03,DEMO,106.4958,107.3828,106.1757,107.0611,1120214
2024-06-04,DEMO,107.0611,107.1921,106.8192,106.9502,951041
2024-06-05,DEMO,106.9502,107.0365,106.9498,107.0362,1000118
2024-06-06,DEMO,107.0362,107.6602,106.8211,107.4444,1080360
2024-06-07,DEMO,107.4444,107.9723,106.2139,106.7384,803448
2024-06-10,DEMO,106.7384,107.9033,106.3077,107.4697,1161384
2024-06-11,DEMO,107.4697,108.8654,106.9476,108.3390,1194347
2024-06-12,DEMO,108.3390,109.5770,107.8797,109.1145,1169559
2024-06-13,DEMO,109.1145,109.7114,108.9109,109.5071,1074623
2024-06-14,DEMO,109.5071,110.1587,109.2819,109.9326,1082274
2024-06-17,DEMO,109.9326,110.2617,109.8362,110.1651,1035064
